"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gngt2.2",1.22915338383964e-246,-1.21847543021901,0.325,0.742,3.97901533416568e-242,"4","Gngt2"
"Triobp",2.74279116322881e-246,0.515050708918287,0.398,0.099,8.8789635536043e-242,"4","Triobp"
"Rab3il1.1",9.22725942549972e-246,-1.22861932526955,0.128,0.634,2.98704842122277e-241,"4","Rab3il1"
"Lyz2.4",2.7675849052343e-245,-1.47717048374419,0.206,0.722,8.95922585522446e-241,"4","Lyz2"
"Cfh.2",4.06051353546268e-245,-1.10902767553252,0.424,0.839,1.31446944169998e-240,"4","Cfh"
"Tprgl.1",1.20955211365461e-244,0.932260103294633,0.795,0.427,3.91556210232271e-240,"4","Tprgl"
"Elmo1.3",2.16931784993225e-244,-1.24557388365927,0.339,0.743,7.02251574380067e-240,"4","Elmo1"
"Nckap1l.1",2.41671972936909e-244,-1.20875764639779,0.126,0.632,7.82340510791363e-240,"4","Nckap1l"
"Bnip3l.1",2.72717188899649e-244,0.937421674411497,0.894,0.64,8.82840083905945e-240,"4","Bnip3l"
"Sparc.3",3.14378717965896e-243,-0.748676696267206,0.99,0.978,1.0177067857992e-238,"4","Sparc"
"Rbms2",8.87181449315832e-243,0.387718843552121,0.296,0.059,2.87198378772521e-238,"4","Rbms2"
"Jup",1.68889765470263e-242,0.677361623239515,0.537,0.17,5.46729948780337e-238,"4","Jup"
"B3gnt2",1.93785769364036e-242,0.926268100561915,0.711,0.318,6.27323292585259e-238,"4","B3gnt2"
"Hyal2",4.63197136295528e-242,0.407212158321189,0.302,0.061,1.49946176961588e-237,"4","Hyal2"
"Ifi203.1",4.7066588744044e-242,0.307942512219575,0.184,0.025,1.52363961082219e-237,"4","Ifi203"
"Gnai2",5.62597336078511e-242,0.69561086684735,0.982,0.952,1.82124009635336e-237,"4","Gnai2"
"Mir99ahg.2",8.4216567928594e-242,-1.32460610711253,0.151,0.643,2.72625873698445e-237,"4","Mir99ahg"
"Pla2g15.2",1.495069083602e-241,-1.20525157878983,0.164,0.656,4.83983763743638e-237,"4","Pla2g15"
"Atp6v0c.1",5.23311909522533e-241,-0.917704238075208,0.869,0.96,1.69406531350634e-236,"4","Atp6v0c"
"Zfyve9",8.40026689838971e-241,0.442818088142504,0.344,0.077,2.71933440034672e-236,"4","Zfyve9"
"Iqsec1",2.1203947777506e-240,0.417688355548043,0.336,0.074,6.86414197453425e-236,"4","Iqsec1"
"Ifit3b.1",2.47670026304668e-240,0.485181761391004,0.207,0.032,8.01757409153471e-236,"4","Ifit3b"
"Ccdc102a",5.53481544903413e-240,0.326683480114033,0.23,0.038,1.79173045716133e-235,"4","Ccdc102a"
"Svil",7.32446723655114e-240,0.528801071195604,0.385,0.096,2.37107653381634e-235,"4","Svil"
"Osbpl9.1",8.0753003509607e-240,0.86540421868688,0.721,0.324,2.614136229613e-235,"4","Osbpl9"
"Slc16a6.3",1.30694595146372e-239,-1.29384517716669,0.103,0.613,4.23084543407834e-235,"4","Slc16a6"
"Slc7a8.1",2.32776960220452e-239,-1.2228749236759,0.109,0.612,7.53545575625646e-235,"4","Slc7a8"
"Arhgdib.1",5.89860817312551e-238,-1.09953328303286,0.449,0.793,1.90949743780419e-233,"4","Arhgdib"
"Cyth3",5.48248512896836e-237,0.74616566361361,0.584,0.207,1.77479008594964e-232,"4","Cyth3"
"Comt.2",7.6056399678498e-237,-1.07916275505362,0.514,0.828,2.46209777039234e-232,"4","Comt"
"Ifi30.2",1.34488493670708e-236,-1.38239944994471,0.154,0.641,4.35366151710816e-232,"4","Ifi30"
"Zhx3",1.38512384574987e-236,0.282954111015007,0.227,0.037,4.48392291346148e-232,"4","Zhx3"
"Arl15",3.19073710491178e-236,0.420743908314437,0.29,0.058,1.03290541560204e-231,"4","Arl15"
"Anxa7",1.11095677966107e-235,0.752422502275955,0.61,0.225,3.59638928711883e-231,"4","Anxa7"
"Ntpcr",1.56358175595112e-234,-1.2000995135202,0.232,0.683,5.06162686036497e-230,"4","Ntpcr"
"Cmtm6.3",4.50097794303563e-233,-1.07743937381185,0.525,0.831,1.45705657971949e-228,"4","Cmtm6"
"Rplp0.1",8.25890584901299e-233,-0.759106887494972,0.985,0.985,2.67357300144249e-228,"4","Rplp0"
"Btbd7",1.56934777636372e-232,0.846510932956022,0.676,0.281,5.08029262164463e-228,"4","Btbd7"
"Castor1",7.03811977065498e-232,0.38923349910897,0.314,0.067,2.27838013215643e-227,"4","Castor1"
"Ppp1cb",2.78166497175541e-231,0.871819608840623,0.679,0.302,9.00480584656661e-227,"4","Ppp1cb"
"Cyb5b",1.36188533737628e-230,0.59595801452672,0.473,0.141,4.40869521415448e-226,"4","Cyb5b"
"Itm2c.1",1.73666377241527e-230,-0.960804511943313,0.64,0.888,5.62192796406271e-226,"4","Itm2c"
"Txnip.4",2.23477439514077e-230,-1.39695960040715,0.723,0.901,7.23441167194969e-226,"4","Txnip"
"C3ar1.1",6.42751622507259e-230,-1.24686871430733,0.109,0.607,2.0807155523805e-225,"4","C3ar1"
"Gm12216",8.41018749522635e-230,0.258939423023488,0.176,0.024,2.72254589595467e-225,"4","Gm12216"
"Hck.2",1.40466036533678e-229,-1.13970381928556,0.103,0.606,4.54716653466821e-225,"4","Hck"
"Tbc1d1",5.2597184644608e-229,0.519254825546221,0.387,0.099,1.70267606131525e-224,"4","Tbc1d1"
"Mgat4a.3",6.83978230422909e-229,-1.2074994581215,0.213,0.666,2.21417432752504e-224,"4","Mgat4a"
"Cd300a.2",9.82925325713105e-229,-1.23040413625322,0.087,0.589,3.18192586439847e-224,"4","Cd300a"
"Tent5a.3",1.54483252957737e-228,-1.52245798046784,0.114,0.612,5.00093186474786e-224,"4","Tent5a"
"Ginm1",3.12696726987109e-228,0.622699108408483,0.523,0.168,1.01226184460267e-223,"4","Ginm1"
"Itpkb",1.11578702962095e-227,0.831823669781211,0.654,0.265,3.61202577228893e-223,"4","Itpkb"
"Tbrg1",1.18932230885135e-227,0.711577499229204,0.568,0.198,3.85007417821361e-223,"4","Tbrg1"
"Hspa1a.3",3.49756623342135e-227,1.06580027757704,0.632,0.247,1.13223214108316e-222,"4","Hspa1a"
"Arrb2.1",5.39040823094666e-227,-1.15115216493588,0.199,0.664,1.74498295252205e-222,"4","Arrb2"
"Il1a.4",6.66975024395983e-227,-1.87203432846023,0.182,0.651,2.15913154897468e-222,"4","Il1a"
"Fam13a",1.31108133738121e-226,0.33150960043248,0.188,0.028,4.24423250537045e-222,"4","Fam13a"
"Pwwp2b",2.5177913415671e-226,0.367924613502332,0.273,0.054,8.15059413092103e-222,"4","Pwwp2b"
"Sntb2",5.20353541834801e-226,0.366382706963324,0.257,0.049,1.68448848562762e-221,"4","Sntb2"
"Prrc2b",1.96465599688007e-225,0.729214100554904,0.552,0.19,6.35998439310016e-221,"4","Prrc2b"
"Ppp1r14b.3",3.12102673127087e-225,-1.12691416057704,0.477,0.79,1.01033877344701e-220,"4","Ppp1r14b"
"Rdm1",3.43537821332817e-225,0.538070994026955,0.442,0.124,1.11210063521859e-220,"4","Rdm1"
"Spr",4.49931592667036e-225,0.715394179429208,0.603,0.224,1.45651855178173e-220,"4","Spr"
"Btg1.4",6.44750111654776e-224,-1.26857538906982,0.64,0.858,2.08718506144884e-219,"4","Btg1"
"Pik3r1.3",2.1260131253727e-223,-1.29927261132887,0.395,0.751,6.8823296894565e-219,"4","Pik3r1"
"Zfp704",2.57645575722803e-223,0.441105865616989,0.353,0.085,8.34050257729857e-219,"4","Zfp704"
"Tnfaip1",5.96215442995324e-223,0.787386246295242,0.604,0.235,1.93006863206446e-218,"4","Tnfaip1"
"Arid5b.1",6.97799041163014e-223,0.889137809167242,0.681,0.296,2.25891505605291e-218,"4","Arid5b"
"Vamp5",8.09513442366725e-223,0.774604394202125,0.61,0.232,2.62055691562956e-218,"4","Vamp5"
"Trak2",1.33041535750661e-222,0.346566471550857,0.271,0.054,4.30682059532039e-218,"4","Trak2"
"4930503L19Rik",6.18491666943163e-222,0.297189075023177,0.223,0.038,2.00218122422841e-217,"4","4930503L19Rik"
"Ankrd50",7.55086320001414e-222,0.330982164616447,0.254,0.048,2.44436543510858e-217,"4","Ankrd50"
"Wipi1",1.03361585607858e-221,0.410114714244202,0.32,0.072,3.34602124929758e-217,"4","Wipi1"
"Ifi27",7.40054599681931e-221,0.979589266859052,0.806,0.457,2.39570475009035e-216,"4","Ifi27"
"Smim10l1",8.77779433295865e-220,0.780285679519333,0.686,0.298,2.84154758146537e-215,"4","Smim10l1"
"Calr.4",2.0990803478646e-218,-1.04916597855543,0.834,0.95,6.79514290210727e-214,"4","Calr"
"Smarca2",9.14694080597901e-218,0.877882634179483,0.679,0.302,2.96104767771152e-213,"4","Smarca2"
"Ptpre.1",9.77704850313104e-218,-1.23286921964174,0.161,0.622,3.16502614143358e-213,"4","Ptpre"
"Retreg1.3",1.35654693811931e-217,-1.12369984028915,0.263,0.691,4.39141374807983e-213,"4","Retreg1"
"Gm26632",2.53341700469071e-217,0.250764924238124,0.166,0.023,8.20117752758478e-213,"4","Gm26632"
"Idi1.1",5.71042687898065e-216,0.34937289244211,0.25,0.048,1.84857938926362e-211,"4","Idi1"
"Capns1",9.1161324759109e-216,0.881308601413012,0.827,0.509,2.95107440510188e-211,"4","Capns1"
"Tpgs2",9.31649386573428e-216,0.413445637346953,0.321,0.074,3.0159353942155e-211,"4","Tpgs2"
"B2m.1",1.14828594352627e-215,-0.730973479395299,0.95,0.986,3.71723125638325e-211,"4","B2m"
"Usp2.3",1.48443208874186e-215,-1.2071673566713,0.108,0.587,4.80540355767515e-211,"4","Usp2"
"Prkcd.2",3.38114155172047e-215,-1.15170899389547,0.224,0.657,1.09454314312295e-210,"4","Prkcd"
"Nbeal1",4.67019810471238e-215,0.737280335050653,0.622,0.248,1.51183653045749e-210,"4","Nbeal1"
"Commd8.2",4.18510345856008e-214,-1.06472517053466,0.436,0.772,1.35480169160507e-209,"4","Commd8"
"Vps36",9.76867475977852e-214,0.813263083212056,0.622,0.25,3.1623153932355e-209,"4","Vps36"
"Polr2m",1.44543530342237e-213,0.727642743920325,0.613,0.239,4.67916316423888e-209,"4","Polr2m"
"Bod1",1.7389482930908e-213,0.508004194241278,0.438,0.126,5.62932341439354e-209,"4","Bod1"
"Fth1.4",3.82981324911268e-213,-0.77096893204734,0.997,0.995,1.23978714500276e-208,"4","Fth1"
"Gmfg.1",1.94419872205797e-212,-1.14566336176321,0.122,0.599,6.29376010304607e-208,"4","Gmfg"
"Blnk.2",2.9374384802661e-212,-1.13576412734903,0.09,0.565,9.50907584831741e-208,"4","Blnk"
"Zeb2os",3.06023658442738e-212,-1.11500862976452,0.09,0.567,9.90659787110833e-208,"4","Zeb2os"
"Irf5.3",3.62680750656163e-212,-1.1255086877913,0.157,0.613,1.17407012602413e-207,"4","Irf5"
"Lst1.2",6.14756402016683e-212,-1.27479947335053,0.122,0.596,1.99008942460841e-207,"4","Lst1"
"Ndufa4.2",1.00034747891043e-211,0.782199015031784,0.945,0.755,3.23832485872883e-207,"4","Ndufa4"
"Slc1a3.3",3.40742317400348e-211,-1.25166488021373,0.15,0.614,1.10305102988841e-206,"4","Slc1a3"
"Atp10d",6.04819660054226e-211,0.413886874142395,0.303,0.067,1.95792220352754e-206,"4","Atp10d"
"Fgfbp3",7.51817188995611e-211,0.282821442508201,0.191,0.03,2.43378260421659e-206,"4","Fgfbp3"
"Prorp",7.78011889847068e-211,0.290109287142788,0.183,0.028,2.51858008981293e-206,"4","Prorp"
"1700017B05Rik.3",1.26012718287895e-210,-1.15590531866548,0.162,0.621,4.07928371641574e-206,"4","1700017B05Rik"
"mt-Cytb",2.74403731889167e-210,0.575609427847701,0.997,0.996,8.8829976087161e-206,"4","mt-Cytb"
"Junb.4",2.79856194160213e-210,-1.33672901789814,0.857,0.939,9.05950471735441e-206,"4","Junb"
"Dleu2.3",3.0242241791139e-210,-1.16681348343291,0.576,0.839,9.79001851262751e-206,"4","Dleu2"
"Tuba1a.4",6.02541407987035e-210,1.01614114058912,0.868,0.611,1.95054704593563e-205,"4","Tuba1a"
"Rps28.1",6.64684676145048e-210,-0.79819552023768,0.953,0.978,2.15171723361675e-205,"4","Rps28"
"Cd180.2",8.11992989525228e-210,-1.23632785647388,0.082,0.559,2.62858370569107e-205,"4","Cd180"
"Hspa1b.2",1.49003396897294e-209,0.526075254871166,0.379,0.099,4.8235379643592e-205,"4","Hspa1b"
"Katnbl1",1.65471021384267e-209,0.421391043891295,0.329,0.078,5.35662790425149e-205,"4","Katnbl1"
"Actn1",1.81645617962007e-209,0.525299467815494,0.397,0.11,5.88023194466608e-205,"4","Actn1"
"Cntln",3.52125750924405e-209,0.428041831557508,0.286,0.063,1.13990148089248e-204,"4","Cntln"
"Dusp23",4.68212376798686e-209,0.413685667995165,0.272,0.057,1.51569710617271e-204,"4","Dusp23"
"Pnkd",6.17239953614622e-209,0.77675127375658,0.659,0.285,1.99812917784126e-204,"4","Pnkd"
"Slc15a3.3",1.65574048287011e-208,-1.18515644255346,0.094,0.568,5.3599630911471e-204,"4","Slc15a3"
"Nhsl2",5.79047205444803e-208,0.334181664641035,0.3,0.066,1.87449161346592e-203,"4","Nhsl2"
"Dock1",1.1979802799075e-207,0.536269332908748,0.434,0.127,3.87810176211657e-203,"4","Dock1"
"Ppm1f",1.83718754655301e-207,0.438531000892351,0.335,0.082,5.9473435257014e-203,"4","Ppm1f"
"Snx20",2.36942052878591e-207,-1.08852600924338,0.094,0.565,7.67028813578574e-203,"4","Snx20"
"Pink1.1",2.5134892818075e-207,0.664974035953314,0.562,0.204,8.13666750306725e-203,"4","Pink1"
"Tbxas1",3.58257012230345e-207,-1.10934882944922,0.107,0.573,1.15974959999207e-202,"4","Tbxas1"
"Samsn1.1",5.7507542864048e-206,-1.09723379334845,0.144,0.605,1.86163417759496e-201,"4","Samsn1"
"Dgcr6",2.77619306176986e-205,0.508060984917657,0.434,0.128,8.9870921795614e-201,"4","Dgcr6"
"Tagap.4",1.48545703519693e-204,-1.41322131990018,0.103,0.574,4.80872151433949e-200,"4","Tagap"
"Ang.3",3.10120858236495e-204,-1.18345763696345,0.214,0.645,1.00392324228318e-199,"4","Ang"
"Hk1",1.47392330577158e-203,0.377577526282734,0.326,0.078,4.77138452544375e-199,"4","Hk1"
"Btbd3",1.52185532249441e-203,0.30417755746956,0.24,0.046,4.92655004997891e-199,"4","Btbd3"
"Dag1",2.07447184670212e-203,0.564404416901075,0.432,0.131,6.71548026214409e-199,"4","Dag1"
"Dipk1a",6.49968629289834e-203,0.524628278071107,0.412,0.118,2.10407844673705e-198,"4","Dipk1a"
"Acadl",1.53063427504208e-202,0.746446490041317,0.634,0.264,4.95496927516621e-198,"4","Acadl"
"Plxnb2.1",2.53210527834489e-202,-1.08765024620602,0.209,0.634,8.19693120705809e-198,"4","Plxnb2"
"Hspa5.3",3.74719668363544e-202,-1.18707581619762,0.817,0.932,1.21304251042646e-197,"4","Hspa5"
"Specc1l",7.68019867938817e-202,0.522295507274185,0.429,0.127,2.48623391649154e-197,"4","Specc1l"
"Rps12.1",9.69434881376269e-202,-0.667382953455878,0.991,0.99,3.13825459799126e-197,"4","Rps12"
"Ifit3.4",2.61762281756753e-201,0.674071963369946,0.322,0.078,8.47376858502962e-197,"4","Ifit3"
"Shld1",4.04203363694898e-201,0.589800180529942,0.426,0.126,1.30848712895313e-196,"4","Shld1"
"Dusp8",7.62039408441186e-201,0.411164516254556,0.291,0.066,2.46687397300581e-196,"4","Dusp8"
"Ctdsp2.1",1.82556368952763e-200,0.602787359126667,0.534,0.187,5.90971477573883e-196,"4","Ctdsp2"
"Prdx1.4",4.80020275835233e-200,0.796184669096166,0.918,0.721,1.55392163693382e-195,"4","Prdx1"
"Dock2",5.08754597356037e-200,-1.06793434860747,0.093,0.557,1.64694038256096e-195,"4","Dock2"
"Fcgr2b.2",1.33347479412829e-199,-1.16424796427338,0.094,0.554,4.31672460355212e-195,"4","Fcgr2b"
"Tmem176a.2",2.22684394506593e-199,-1.21931967271959,0.295,0.683,7.20873921896742e-195,"4","Tmem176a"
"Sdf2l1.4",2.94851620393375e-199,-1.42433151951894,0.189,0.615,9.54493665537435e-195,"4","Sdf2l1"
"Sav1",4.31476891111501e-199,0.581295322094935,0.485,0.16,1.39677699190615e-194,"4","Sav1"
"Selenos.2",4.42962695903251e-199,-1.01927115360867,0.432,0.756,1.433958839178e-194,"4","Selenos"
"Dnaja1.2",1.02311863371494e-198,0.88919653852362,0.917,0.732,3.31203964106199e-194,"4","Dnaja1"
"Socs3.3",1.51709152260537e-198,-1.68916523286106,0.352,0.697,4.91112867697809e-194,"4","Socs3"
"Mfhas1",1.52928508041227e-198,0.690732048195152,0.599,0.237,4.9506016623106e-194,"4","Mfhas1"
"Sypl",1.64140271124216e-198,0.84714272393449,0.823,0.495,5.31354885683313e-194,"4","Sypl"
"Tmsb10.1",3.88675302248147e-198,1.93498142135385,0.785,0.516,1.2582196884377e-193,"4","Tmsb10"
"Nrip1.3",4.57582006317524e-198,-1.14820726382042,0.489,0.786,1.48128447085109e-193,"4","Nrip1"
"Zbtb10",9.45769042650674e-197,0.293079659571883,0.214,0.039,3.06164354486876e-192,"4","Zbtb10"
"Pbx1.1",1.1759050992361e-196,0.540240901235012,0.469,0.148,3.8066399872471e-192,"4","Pbx1"
"Raph1.1",2.52010487323132e-196,0.349043856722519,0.3,0.069,8.15808349562443e-192,"4","Raph1"
"Havcr2.3",3.32248059153193e-196,-1.07768215002589,0.074,0.532,1.07555341709072e-191,"4","Havcr2"
"Myo1b.1",1.28511128562322e-195,0.720920706289072,0.57,0.221,4.16016225381948e-191,"4","Myo1b"
"Map1lc3a.1",1.39536980690514e-195,0.877307531079418,0.767,0.436,4.51709113891332e-191,"4","Map1lc3a"
"Cd83.2",1.74384949564289e-195,-1.73186285877299,0.412,0.716,5.64518958729516e-191,"4","Cd83"
"Bambi",3.06874644846607e-195,0.301603929534981,0.201,0.035,9.93414600297437e-191,"4","Bambi"
"Acaa2",5.10411101088232e-195,0.515703525741858,0.439,0.135,1.65230281644282e-190,"4","Acaa2"
"Ivns1abp.3",6.41530805083087e-195,-0.950577898061356,0.521,0.841,2.07676352221497e-190,"4","Ivns1abp"
"Cd164.2",1.12540115434973e-194,-1.06204233984247,0.459,0.763,3.64314861686094e-190,"4","Cd164"
"Neurl3.2",3.800486844027e-194,-1.2665101725828,0.082,0.543,1.23029360114842e-189,"4","Neurl3"
"Dnase1l1.1",4.62518738783203e-194,0.267709291947326,0.182,0.03,1.49726566118899e-189,"4","Dnase1l1"
"Ap3s1",5.70190995312854e-194,0.639916388100348,0.552,0.205,1.84582229002677e-189,"4","Ap3s1"
"Rpl38.3",4.11069585744287e-193,0.735022462739248,0.996,0.966,1.33071446297141e-188,"4","Rpl38"
"Ogfrl1.2",4.93444739088723e-193,-1.08701625622986,0.213,0.627,1.59737930937802e-188,"4","Ogfrl1"
"Abca9.2",1.01504072708122e-192,-1.13592030526515,0.091,0.535,3.28588984170731e-188,"4","Abca9"
"Chmp5",2.35468170249616e-192,0.811566431098173,0.77,0.439,7.62257560732058e-188,"4","Chmp5"
"Stxbp1",2.87231479905099e-192,0.407239655073221,0.345,0.09,9.29825746748787e-188,"4","Stxbp1"
"Gpr84.4",1.19001775718521e-191,-1.68095854960245,0.146,0.584,3.85232548355997e-187,"4","Gpr84"
"Usp18.2",1.61622695298995e-191,0.443216401613395,0.279,0.063,5.23204989221908e-187,"4","Usp18"
"Vav1.1",5.54219588292235e-191,-1.01737219182319,0.076,0.526,1.79411965121962e-186,"4","Vav1"
"Ubash3b.2",2.51200944439388e-190,-1.07561210198948,0.068,0.521,8.13187697339187e-186,"4","Ubash3b"
"Abhd5",5.00900711432926e-190,0.385330198001503,0.309,0.075,1.62151578305067e-185,"4","Abhd5"
"Gal3st4.2",3.18674993486123e-189,-1.08868442447234,0.074,0.521,1.03161468891328e-184,"4","Gal3st4"
"Tmem184b",7.00286628781101e-189,0.580917932030917,0.504,0.177,2.26696787469018e-184,"4","Tmem184b"
"Anp32a",1.27184553838892e-188,0.831880336192373,0.872,0.662,4.11721837687262e-184,"4","Anp32a"
"Sft2d1.3",1.54214365841001e-188,-1.02238693929057,0.326,0.691,4.99222745100488e-184,"4","Sft2d1"
"Diaph1",2.90179729052371e-188,0.526372897928149,0.432,0.134,9.39369818888337e-184,"4","Diaph1"
"H2-DMb1",6.60587638233075e-188,-1.02952704874357,0.077,0.527,2.13845430248811e-183,"4","H2-DMb1"
"Icam1.4",7.97035982846176e-188,-1.4844526462173,0.263,0.664,2.58016488366964e-183,"4","Icam1"
"Rusc1",1.01606311487179e-187,0.319045443520443,0.249,0.052,3.28919951546294e-183,"4","Rusc1"
"Rpl10a.1",1.67946038700827e-187,-0.71554622450208,0.933,0.968,5.43674916482318e-183,"4","Rpl10a"
"Clic1",1.7986469357776e-187,-0.675642341811229,0.879,0.961,5.82257986049924e-183,"4","Clic1"
"Il21r",2.48629317364102e-187,-1.0224988189468,0.085,0.529,8.04862826171072e-183,"4","Il21r"
"Itga6.3",1.1674320777099e-186,0.925059225547633,0.868,0.616,3.77921112196248e-182,"4","Itga6"
"Clstn1.1",1.31339115882155e-186,0.706290195933103,0.638,0.277,4.25170985933712e-182,"4","Clstn1"
"Uqcrb.2",1.86218142657385e-186,0.777574908852978,0.885,0.65,6.02825371410488e-182,"4","Uqcrb"
"Sept7",2.57169690346322e-186,0.869389340667837,0.854,0.629,8.32509721589114e-182,"4","Sept7"
"Jmy",5.17082922515247e-186,0.496414583056109,0.403,0.119,1.67390083676636e-181,"4","Jmy"
"Asph.3",9.9675467280737e-186,-1.07713897875645,0.226,0.618,3.22669422681202e-181,"4","Asph"
"Hspa2",1.07505615184009e-185,0.269522522125991,0.154,0.023,3.48017177473674e-181,"4","Hspa2"
"Ralbp1",5.52545682322806e-185,0.792525852462001,0.779,0.443,1.78870088281539e-180,"4","Ralbp1"
"Adipor2",1.32869206534014e-184,0.669745441762382,0.57,0.226,4.30124195391912e-180,"4","Adipor2"
"Tmem37.2",2.07780488488542e-184,-1.04419170533778,0.193,0.608,6.72626997335109e-180,"4","Tmem37"
"Ms4a6d.1",1.24815816453087e-183,-1.03406292099852,0.083,0.523,4.04053761021934e-179,"4","Ms4a6d"
"Aida",2.83796349233087e-183,0.534827621341513,0.424,0.133,9.1870554173735e-179,"4","Aida"
"Pmp22",7.31534830582198e-183,-1.04229032715449,0.448,0.755,2.36812455356069e-178,"4","Pmp22"
"Cbx5.2",1.49643153066842e-182,0.570867085569929,0.491,0.169,4.84424815107981e-178,"4","Cbx5"
"Skap2",1.87516907046456e-182,-1.01046574342969,0.21,0.61,6.07029731490788e-178,"4","Skap2"
"Mef2a.3",4.27538744698384e-182,-0.935671310953846,0.757,0.91,1.38402842433761e-177,"4","Mef2a"
"Hcls1",1.07962739797894e-181,-0.994254013271066,0.107,0.537,3.49496981273744e-177,"4","Hcls1"
"Pnp",4.81803889285959e-181,-0.944629555311332,0.618,0.83,1.55969555039651e-176,"4","Pnp"
"Tgm2",9.53530968940225e-181,0.67514328023316,0.505,0.188,3.0867704526533e-176,"4","Tgm2"
"Laptm4a",1.21048794494884e-180,0.649194376521086,0.946,0.87,3.91859157538838e-176,"4","Laptm4a"
"Ifngr2",1.98833405227799e-180,-0.993540842154255,0.253,0.644,6.4366349940343e-176,"4","Ifngr2"
"Ppp2r5a",2.04302614605851e-180,0.690923385809319,0.584,0.239,6.6136842400206e-176,"4","Ppp2r5a"
"Ifih1",3.73297601695783e-180,0.505325246477286,0.385,0.114,1.20843899620959e-175,"4","Ifih1"
"Fdps",4.92919809740503e-180,0.504490494716403,0.422,0.133,1.59568000809196e-175,"4","Fdps"
"Map4k3",1.24858248693863e-179,0.480841054588234,0.385,0.113,4.04191122671773e-175,"4","Map4k3"
"Plin2.1",2.34772219312832e-179,0.508048628365394,0.452,0.148,7.60004628359498e-175,"4","Plin2"
"Plekhg2",3.94702946573547e-179,0.344316717867708,0.288,0.069,1.27773237864789e-174,"4","Plekhg2"
"Uqcc2.2",1.01094641804528e-178,0.789504948705428,0.763,0.42,3.27263574449617e-174,"4","Uqcc2"
"Myo1c",1.03564129547986e-178,0.479398450268464,0.435,0.14,3.35257800172739e-174,"4","Myo1c"
"4921524J17Rik",1.12467459265505e-178,0.442045183038068,0.397,0.118,3.64079659134291e-174,"4","4921524J17Rik"
"Dapp1.2",1.87632568414339e-178,-1.01983391049171,0.086,0.522,6.07404150470898e-174,"4","Dapp1"
"Lacc1",3.01726757486586e-178,-1.01830588953864,0.097,0.529,9.76749859335575e-174,"4","Lacc1"
"Rnf19a",1.8365324080058e-177,0.391161084768523,0.296,0.073,5.94522271119637e-173,"4","Rnf19a"
"Eef1a1",4.76123526149687e-177,-0.504361583938308,0.997,0.995,1.54130707885177e-172,"4","Eef1a1"
"Hsp90b1.3",5.65866171684222e-177,-0.823199837297671,0.874,0.954,1.83182197097616e-172,"4","Hsp90b1"
"Cdkn2d",6.4795143730688e-177,0.413309228996018,0.363,0.103,2.09754839284983e-172,"4","Cdkn2d"
"Rhbdf2",6.9937931213214e-177,0.286294941270256,0.222,0.045,2.26403070923416e-172,"4","Rhbdf2"
"Oxct1.1",9.03084610593422e-177,-0.99296798771894,0.33,0.672,2.92346550141302e-172,"4","Oxct1"
"Sowahc.2",2.29016299378435e-176,-1.13168799089517,0.113,0.537,7.41371564347871e-172,"4","Sowahc"
"Eif1.2",3.10564811461397e-176,0.485578353210615,0.991,0.978,1.00536040766284e-171,"4","Eif1"
"Jpt1.1",6.38099012884693e-176,-1.01941047102656,0.289,0.646,2.06565412451033e-171,"4","Jpt1"
"Rassf8",2.59620202944523e-175,0.312683443140009,0.246,0.054,8.40442520972011e-171,"4","Rassf8"
"Unc45a",3.78079789044643e-175,0.296113008775374,0.243,0.052,1.22391989309532e-170,"4","Unc45a"
"Pitpnc1.1",3.88634267962985e-175,0.807267413704836,0.609,0.274,1.25808685224978e-170,"4","Pitpnc1"
"Tlnrd1",4.0194739013193e-175,0.452043563426124,0.391,0.117,1.30118409133508e-170,"4","Tlnrd1"
"Rplp2",5.78749355063957e-175,-0.640572122142681,0.976,0.98,1.87352741221304e-170,"4","Rplp2"
"Alg14",9.78309116673996e-175,0.420735986726658,0.348,0.097,3.16698227249706e-170,"4","Alg14"
"Cox6c.3",1.14611494615457e-174,0.71478656450711,0.921,0.729,3.71020330369159e-170,"4","Cox6c"
"Trim24",1.66357982348256e-174,0.505588188789723,0.431,0.139,5.38534060457776e-170,"4","Trim24"
"Oip5os1",4.08417008149485e-174,0.780552216268139,0.736,0.405,1.32212753878151e-169,"4","Oip5os1"
"Cd302",4.18065279602451e-174,-0.985959496460675,0.18,0.58,1.35336092312905e-169,"4","Cd302"
"Elovl5",5.63015598755899e-174,0.410381502468013,0.311,0.081,1.8225940962926e-169,"4","Elovl5"
"Ncoa7",6.59710055738661e-174,0.367392806842317,0.285,0.069,2.13561339243719e-169,"4","Ncoa7"
"Pomp.2",8.18067431849374e-174,0.703643651313186,0.936,0.827,2.64824789038279e-169,"4","Pomp"
"Pwwp3a",2.78013341063584e-173,0.404985939091155,0.338,0.093,8.99984787691034e-169,"4","Pwwp3a"
"Slc11a1",3.7026214542702e-173,-1.01416537495291,0.085,0.504,1.19861261717635e-168,"4","Slc11a1"
"Gdi2.1",7.80234480643476e-173,-0.779352702138547,0.773,0.906,2.52577506073906e-168,"4","Gdi2"
"Fam92a",1.52683705509208e-172,0.388479377348517,0.352,0.099,4.94267691474408e-168,"4","Fam92a"
"Slc31a1",1.61667146257197e-172,0.618108842841371,0.505,0.191,5.23348885863799e-168,"4","Slc31a1"
