"","sample_id","sample_name","batch","group","dosing_solution_code","time_point","microchip","animal_id","housing_id","sex","date_of_birth","line","genotype","cohort","iv_dose_mg.kg","species","treatment","dc.","antibody_dose","X.cells_lcms","X.cells_rnaseq","vial"
"50","HSA-000017084","TW12",2,5,"B","1 day","FY3014",18186,"C-6647","Male","2/16/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","4D9VH-3, pRK5-hIgG1-LALAPG (de gly) 1 day",10,"Mouse","4D9","DC2696",10,50000,200,12
"51","HSA-000017083","TW11",2,3,"A","1 day","QI8343",18192,"C-6648","Male","2/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","huIgG1 ATV35.23.3 LALA 1 day",10,"Mouse","ATV:DNP02","DC4162",10,50000,200,11
"52","HSA-000017082","TW10",2,4,"C","1 day","VO2181",18191,"C-6648","Male","2/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 1 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,10
"53","HSA-000017081","TW09",2,2,"C","1 day","VO2184",18583,"C-6870","Male","1/19/21","hTfR KI","hTfR KI HOM","ATV:4D9-degly: huIgG1LALA 1 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,9
"54","HSA-000017080","TW08",1,8,"C","28 days","AT3616",18190,"C-6648","Male","2/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 28 days",10,"Mouse","ATV:4D9","DC3115",10,50000,200,8
"55","HSA-000017079","TW07",1,7,"C","14 days","VO2197",18193,"C-6649","Male","1/19/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 14 days",10,"Mouse","ATV:4D9","DC3115",10,50000,200,7
"56","HSA-000017078","TW06",1,6,"C","7 days","AT3601",18174,"C-7041","Male","3/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 7 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,6
"57","HSA-000017077","TW05",1,5,"B","1 day","VO1281",18175,"C-7042","Male","3/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","4D9VH-3, pRK5-hIgG1-LALAPG (de gly) 1 day",10,"Mouse","4D9","DC2696",10,50000,200,5
"58","HSA-000017076","TW04",1,4,"C","1 day","LD9305",18176,"C-7043","Male","3/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","ATV:4D9-degly: huIgG1LALA 1 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,4
"59","HSA-000017075","TW03",1,3,"A","1 day","QI8342",18177,"C-7044","Male","3/2/21","hTfR KI x APP-SAA KI","hTfR KI HOM, APP-SAA HOM","huIgG1 ATV35.23.3 LALA 1 day",10,"Mouse","ATV:DNP02","DC4162",10,50000,200,3
"60","HSA-000017074","TW02",1,2,"C","1 day","AT3606",18582,"C-6870","Male","1/19/21","hTfR KI","hTfR KI HOM","ATV:4D9-degly: huIgG1LALA 1 day",10,"Mouse","ATV:4D9","DC3115",10,50000,200,2
"61","HSA-000017073","TW01",1,1,"A","1 day","FY3068",17746,"C-6456","Male","1/26/21","hTfR KI","hTfR KI HOM","huIgG1 ATV35.23.3 LALA 1 day",10,"Mouse","ATV:DNP02","DC4162",10,50000,200,1
